,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Sunday afternoon,Sunday afternoon,TIME,,,en,2,,,,,,
Chinook,Chinook,PRODUCT,,,en,2,,,,,,
last week,last week,DATE,,,en,2,,,,,,
Nov 2,Nov 2,DATE,,,en,2,,,,,,
"Rs 1,441 crore","Rs 1,441 crore",MONEY,,,en,2,,,,,,
November 13,November 13,DATE,,,en,2,,,,,,
May,May,DATE,,,en,2,,,,,,
several days,several days,DATE,,,en,2,,,,,,
at least nine,at least nine,CARDINAL,,,en,2,,,,,,
This week,This week,DATE,,,en,2,,,,,,
300,300,CARDINAL,,,en,2,,,,,,
many decades,many decades,DATE,,,en,2,,,,,,
Nov 8),Nov 8),DATE,,,en,2,,,,,,
over 300,over 300,CARDINAL,,,en,2,,,,,,
3D,3D,CARDINAL,,,en,2,,,,,,
USD 224.55 billion,USD 224.55 billion,MONEY,,,en,2,,,,,,
Another year,Another year,DATE,,,en,2,,,,,,
100%,100%,PERCENT,,,en,2,,,,,,
weekly,weekly,DATE,,,en,2,,,,,,
two weeks,two weeks,DATE,,,en,2,,,,,,
a few kg,a few kg,QUANTITY,,,en,2,,,,,,
the coming days,the coming days,DATE,,,en,2,,,,,,
two-month,two-month,DATE,,,en,2,,,,,,
70%,70%,PERCENT,,,en,2,,,,,,
Iranians,Iranians,NORP,,,en,2,,,,,,
The Fine Print,The Fine Print,WORK_OF_ART,,,en,2,,,,,,
12.5%,12.5%,PERCENT,,,en,2,,,,,,
this November,this November,DATE,,,en,2,,,,,,
64,64,CARDINAL,,,en,2,,,,,,
24,24,CARDINAL,,,en,2,,,,,,
below 3%,below 3%,PERCENT,,,en,2,,,,,,
Nov. 2,Nov. 2,DATE,,,en,2,,,,,,
51,51,CARDINAL,,,en,2,,,,,,
$611.7 million,$611.7 million,MONEY,,,en,2,,,,,,
millions,millions,CARDINAL,,,en,2,,,,,,
November 6,November 6,DATE,,,en,2,,,,,,
Nov 7,Nov 7,DATE,,,en,2,,,,,,
two days,two days,DATE,,,en,2,,,,,,
Two weeks ago,Two weeks ago,DATE,,,en,2,,,,,,
1.5 billion,1.5 billion,CARDINAL,,,en,2,,,,,,
night,night,TIME,,,en,2,,,,,,
Disneyland,Disneyland,FAC,,,en,2,,,,,,
18k miles,18k miles,QUANTITY,,,en,2,,,,,,
seconds,seconds,TIME,,,en,2,,,,,,
25th,25th,ORDINAL,,,en,2,,,,,,
seven,seven,CARDINAL,,,en,2,,,,,,
Only 2,Only 2,CARDINAL,,,en,2,,,,,,
"November 9-10, 2025","November 9-10, 2025",DATE,,,en,2,,,,,,
USD 126.57 billion,USD 126.57 billion,MONEY,,,en,2,,,,,,
Nearly 80 percent,Nearly 80 percent,PERCENT,,,en,2,,,,,,
about 900 million,about 900 million,CARDINAL,,,en,2,,,,,,
4,4,CARDINAL,,,en,2,,,,,,
this month,this month,DATE,,,en,2,,,,,,
"the three and nine months ending September 30, 2025","the three and nine months ending September 30, 2025",DATE,,,en,2,,,,,,
"Abstract
","Abstract
",WORK_OF_ART,,,en,2,,,,,,
hundreds,hundreds,CARDINAL,,,en,2,,,,,,
redmagic 11,redmagic 11,FAC,,,en,2,,,,,,
the previous month,the previous month,DATE,,,en,2,,,,,,
almost 200%,almost 200%,PERCENT,,,en,2,,,,,,
Himalayas,Himalayas,NORP,,,en,2,,,,,,
the day,the day,DATE,,,en,2,,,,,,
more than 250 years,more than 250 years,DATE,,,en,2,,,,,,
50%,50%,PERCENT,,,en,2,,,,,,
Irans,Irans,NORP,,,en,2,,,,,,
next month,next month,DATE,,,en,2,,,,,,
"only 5,000","only 5,000",CARDINAL,,,en,2,,,,,,
Chinese,Chinese,NORP,,,en,2,,,,,,
these days,these days,DATE,,,en,2,,,,,,
Thirty-one,Thirty-one,CARDINAL,,,en,2,,,,,,
65th,65th,ORDINAL,,,en,2,,,,,,
season,season,DATE,,,en,2,,,,,,
a World Cup,a World Cup,EVENT,,,en,2,,,,,,
18,18,CARDINAL,,,en,2,,,,,,
2010,2010,DATE,,,en,2,,,,,,
this Tuesday,this Tuesday,DATE,,,en,2,,,,,,
14,14,CARDINAL,,,en,2,,,,,,
Victorian,Victorian,NORP,,,en,2,,,,,,
the eighteenth and nineteenth century,the eighteenth and nineteenth century,DATE,,,en,2,,,,,,
Swiss,Swiss,NORP,,,en,2,,,,,,
Influencers,Influencers,NORP,,,en,2,,,,,,
3 November 2025,3 November 2025,DATE,,,en,2,,,,,,
35mm,35mm,QUANTITY,,,en,2,,,,,,
the coming weeks,the coming weeks,DATE,,,en,2,,,,,,
more than 30%,more than 30%,PERCENT,,,en,2,,,,,,
tens of thousands,tens of thousands,CARDINAL,,,en,2,,,,,,
six,six,CARDINAL,,,en,2,,,,,,
USD 7.74 billion,USD 7.74 billion,MONEY,,,en,1,,,,,,
the OnePlus 15,the OnePlus 15,PRODUCT,,,en,1,,,,,,
the upcoming winter season,the upcoming winter season,DATE,,,en,1,,,,,,
Du,Du,WORK_OF_ART,,,en,1,,,,,,
1758,1758,DATE,,,en,1,,,,,,
the end of summer,the end of summer,DATE,,,en,1,,,,,,
Month - November 2025 | Eyesore,Month - November 2025 | Eyesore,DATE,,,en,1,,,,,,
the Week,the Week,DATE,,,en,1,,,,,,
Month - November 2025,Month - November 2025,DATE,,,en,1,,,,,,
Brutal Drought,Brutal Drought,WORK_OF_ART,,,en,1,,,,,,
16,16,CARDINAL,,,en,1,,,,,,
Half,Half,CARDINAL,,,en,1,,,,,,
75 percent,75 percent,PERCENT,,,en,1,,,,,,
83,83,DATE,,,en,1,,,,,,
weekday,weekday,DATE,,,en,1,,,,,,
"550,000","550,000",CARDINAL,,,en,1,,,,,,
80,80,CARDINAL,,,en,1,,,,,,
07,07,DATE,,,en,1,,,,,,
"November
 ","November
 ",DATE,,,en,1,,,,,,
8 minutes,8 minutes,TIME,,,en,1,,,,,,
11/08/2025 5:53:13 AM PST,11/08/2025 5:53:13 AM PST,TIME,,,en,1,,,,,,
recent days,recent days,DATE,,,en,1,,,,,,
the winter season,the winter season,DATE,,,en,1,,,,,,
RedMagic 11,RedMagic 11,PRODUCT,,,en,1,,,,,,
the morning,the morning,TIME,,,en,1,,,,,,
the evening hours,the evening hours,TIME,,,en,1,,,,,,
December,December,DATE,,,en,1,,,,,,
217,217,CARDINAL,,,en,1,,,,,,
4.6%,4.6%,PERCENT,,,en,1,,,,,,
USD 121 billion,USD 121 billion,MONEY,,,en,1,,,,,,
+1970 chars,+1970 chars,WORK_OF_ART,,,en,1,,,,,,
1.1.0,1.1.0,CARDINAL,,,en,1,,,,,,
a century,a century,DATE,,,en,1,,,,,,
New Jurassic World Evolution 3 Update,New Jurassic World Evolution 3 Update,EVENT,,,en,1,,,,,,
+10096,+10096,NORP,,,en,1,,,,,,
Tehranis,Tehranis,NORP,,,en,1,,,,,,
Arctic,Arctic,PRODUCT,,,en,1,,,,,,
3AM,3AM,CARDINAL,,,en,1,,,,,,
90,90,CARDINAL,,,en,1,,,,,,
11/12/2025 5:10,11/12/2025 5:10,TIME,,,en,1,,,,,,
countless hours,countless hours,TIME,,,en,1,,,,,,
Global Ranking,Global Ranking,WORK_OF_ART,,,en,1,,,,,,
Larrabee State Park,Larrabee State Park,FAC,,,en,1,,,,,,
$850.4 million,$850.4 million,MONEY,,,en,1,,,,,,
Nepalese,Nepalese,NORP,,,en,1,,,,,,
recent decades,recent decades,DATE,,,en,1,,,,,,
Nova Scotians,Nova Scotians,NORP,,,en,1,,,,,,
Syllad |,Syllad |,WORK_OF_ART,,,en,1,,,,,,
11/10/2025 1:52:09 PM PST,11/10/2025 1:52:09 PM PST,TIME,,,en,1,,,,,,
72,72,CARDINAL,,,en,1,,,,,,
Rs 1.34 crore,Rs 1.34 crore,MONEY,,,en,1,,,,,,
Nov. 06,Nov. 06,DATE,,,en,1,,,,,,
20(11,20(11,CARDINAL,,,en,1,,,,,,
nearly £15 billion,nearly £15 billion,MONEY,,,en,1,,,,,,
9:25:33 PM PST,9:25:33 PM PST,TIME,,,en,1,,,,,,
nearly 80%,nearly 80%,PERCENT,,,en,1,,,,,,
$19.6 billion,$19.6 billion,MONEY,,,en,1,,,,,,
AgriLokal,AgriLokal,PRODUCT,,,en,1,,,,,,
Starry Night,Starry Night,FAC,,,en,1,,,,,,
late September,late September,DATE,,,en,1,,,,,,
KomoNews,KomoNews,WORK_OF_ART,,,en,1,,,,,,
"November 1, 2025","November 1, 2025",DATE,,,en,1,,,,,,
+2902 chars,+2902 chars,WORK_OF_ART,,,en,1,,,,,,
2016,2016,DATE,,,en,1,,,,,,
12:43:45 PM PST,12:43:45 PM PST,TIME,,,en,1,,,,,,
November 5–6 ahead…,November 5–6 ahead…,DATE,,,en,1,,,,,,
recent months,recent months,DATE,,,en,1,,,,,,
Third-Quarter,Third-Quarter,DATE,,,en,1,,,,,,
Nov.  12,Nov.  12,DATE,,,en,1,,,,,,
2025  ,2025  ,QUANTITY,,,en,1,,,,,,
2.50,2.50,MONEY,,,en,1,,,,,,
32,32,CARDINAL,,,en,1,,,,,,
the third quarter… SAN JOSE,the third quarter… SAN JOSE,DATE,,,en,1,,,,,,
+10974,+10974,CARDINAL,,,en,1,,,,,,
Quarter 2025,Quarter 2025,DATE,,,en,1,,,,,,
90 percent,90 percent,PERCENT,,,en,1,,,,,,
Nepali,Nepali,NORP,,,en,1,,,,,,
22 percent,22 percent,PERCENT,,,en,1,,,,,,
the third quarter,the third quarter,DATE,,,en,1,,,,,,
1945,1945,DATE,,,en,1,,,,,,
USD 189.72 billion,USD 189.72 billion,MONEY,,,en,1,,,,,,
the Great Atlantic Sargassum Belt,the Great Atlantic Sargassum Belt,EVENT,,,en,1,,,,,,
EdgeFlagship,EdgeFlagship,PRODUCT,,,en,1,,,,,,
+10456,+10456,CARDINAL,,,en,1,,,,,,
November 10th,November 10th,DATE,,,en,1,,,,,,
Russias,Russias,NORP,,,en,1,,,,,,
Patriot,Patriot,PRODUCT,,,en,1,,,,,,
25,25,CARDINAL,,,en,1,,,,,,
2025-,2025-,CARDINAL,,,en,1,,,,,,
4.1%,4.1%,PERCENT,,,en,1,,,,,,
US$ 16.7 billion,US$ 16.7 billion,MONEY,,,en,1,,,,,,
US$ 11.6 billion,US$ 11.6 billion,MONEY,,,en,1,,,,,,
DeepTech,DeepTech,PRODUCT,,,en,1,,,,,,
35%,35%,PERCENT,,,en,1,,,,,,
30,30,CARDINAL,,,en,1,,,,,,
Fitbit,Fitbit,PRODUCT,,,en,1,,,,,,
the early 2010s,the early 2010s,DATE,,,en,1,,,,,,
around 06:10 on,around 06:10 on,TIME,,,en,1,,,,,,
US$ 16.7 Billion,US$ 16.7 Billion,MONEY,,,en,1,,,,,,
November 2025,November 2025,DATE,,,en,1,,,,,,
12,12,CARDINAL,,,en,1,,,,,,
around 3 miles,around 3 miles,QUANTITY,,,en,1,,,,,,
11/10/2025 9:32:48 AM PST,11/10/2025 9:32:48 AM PST,TIME,,,en,1,,,,,,
up to $100,up to $100,MONEY,,,en,1,,,,,,
Coloca,Coloca,WORK_OF_ART,,,en,1,,,,,,
End User,End User,PRODUCT,,,en,1,,,,,,
2032,2032,DATE,,,en,1,,,,,,
Rs 9.97 crore,Rs 9.97 crore,MONEY,,,en,1,,,,,,
33.0%,33.0%,PERCENT,,,en,1,,,,,,
+2426 chars,+2426 chars,WORK_OF_ART,,,en,1,,,,,,
60 years,60 years,DATE,,,en,1,,,,,,
years end,years end,DATE,,,en,1,,,,,,
year's end,year's end,DATE,,,en,1,,,,,,
11.9%,11.9%,PERCENT,,,en,1,,,,,,
US$ 38.84 billion,US$ 38.84 billion,MONEY,,,en,1,,,,,,
US$ 14.12 billion,US$ 14.12 billion,MONEY,,,en,1,,,,,,
US$ 38.84 Billion,US$ 38.84 Billion,MONEY,,,en,1,,,,,,
Missourians,Missourians,NORP,,,en,1,,,,,,
"650,000","650,000",CARDINAL,,,en,1,,,,,,
+4386,+4386,NORP,,,en,1,,,,,,
"Cooling Type (Direct to Chip Cooling, Immersion Cooling","Cooling Type (Direct to Chip Cooling, Immersion Cooling",LAW,,,en,1,,,,,,
"Monday, November 10","Monday, November 10",DATE,,,en,1,,,,,,
morning,morning,TIME,,,en,1,,,,,,
Over one million gallons,Over one million gallons,QUANTITY,,,en,1,,,,,,
5 km,5 km,QUANTITY,,,en,1,,,,,,
11/10/2025 12:30:07 PM,11/10/2025 12:30:07 PM,TIME,,,en,1,,,,,,
third,third,ORDINAL,,,en,1,,,,,,
+4622 chars,+4622 chars,WORK_OF_ART,,,en,1,,,,,,
the end of the year,the end of the year,DATE,,,en,1,,,,,,
almost daily,almost daily,CARDINAL,,,en,1,,,,,,
"the Three and Nine Months Ending September 30, 2025","the Three and Nine Months Ending September 30, 2025",DATE,,,en,1,,,,,,
11/10/2025 11:56:12 AM PST,11/10/2025 11:56:12 AM PST,TIME,,,en,1,,,,,,
11/08/2025 3:14:16 PM PST,11/08/2025 3:14:16 PM PST,TIME,,,en,1,,,,,,
Decades,Decades,DATE,,,en,1,,,,,,
Last week,Last week,DATE,,,en,1,,,,,,
76,76,CARDINAL,,,en,1,,,,,,
76%,76%,PERCENT,,,en,1,,,,,,
10 million,10 million,CARDINAL,,,en,1,,,,,,
USD 189.72 Billion,USD 189.72 Billion,MONEY,,,en,1,,,,,,
"November 8, 2025
 ","November 8, 2025
 ",DATE,,,en,1,,,,,,
1985,1985,DATE,,,en,1,,,,,,
"50,000","50,000",CARDINAL,,,en,1,,,,,,
the years,the years,DATE,,,en,1,,,,,,
2034 |,2034 |,DATE,,,en,1,,,,,,
9:27 a.m.,9:27 a.m.,TIME,,,en,1,,,,,,
18k-Mile,18k-Mile,QUANTITY,,,en,1,,,,,,
2029,2029,CARDINAL,,,en,1,,,,,,
40 million,40 million,CARDINAL,,,en,1,,,,,,
… Decades,… Decades,DATE,,,en,1,,,,,,
84%,84%,PERCENT,,,en,1,,,,,,
November 9,November 9,DATE,,,en,1,,,,,,
+1542,+1542,NORP,,,en,1,,,,,,
November 09,November 09,DATE,,,en,1,,,,,,
80%,80%,PERCENT,,,en,1,,,,,,
the 1890s,the 1890s,DATE,,,en,1,,,,,,
1st,1st,ORDINAL,,,en,1,,,,,,
NEW World,NEW World,WORK_OF_ART,,,en,1,,,,,,
New Glenn,New Glenn,PRODUCT,0.06818181818181818,0.2772727272727273,en,1,,,,,,
USD 1.05 billion,USD 1.05 billion,MONEY,,,en,1,,,,,,
this autumn,this autumn,DATE,,,en,1,,,,,,
ten dollars,ten dollars,MONEY,,,en,1,,,,,,
3%,3%,PERCENT,,,en,1,,,,,,
200%,200%,PERCENT,,,en,1,,,,,,
2025-2032,2025-2032,DATE,,,en,1,,,,,,
Black Friday,Black Friday,EVENT,,,en,1,,,,,,
$155+ Billion,$155+ Billion,MONEY,,,en,1,,,,,,
English,English,LANGUAGE,,,en,1,,,,,,
Drone Photo Awards,Drone Photo Awards,EVENT,,,en,1,,,,,,
35mm Camera Edge,35mm Camera Edge,QUANTITY,,,en,1,,,,,,
the Great Depression,the Great Depression,EVENT,,,en,1,,,,,,
graduation weekend,graduation weekend,DATE,,,en,1,,,,,,
The year was 1965,The year was 1965,DATE,,,en,1,,,,,,
9.14,9.14,MONEY,,,en,1,,,,,,
a few months,a few months,DATE,,,en,1,,,,,,
+3480,+3480,NORP,,,en,1,,,,,,
only one year,only one year,DATE,,,en,1,,,,,,
early minutes,early minutes,TIME,,,en,1,,,,,,
billion-dollar,billion-dollar,MONEY,,,en,1,,,,,,
this winter,this winter,DATE,,,en,1,,,,,,
eight,eight,CARDINAL,,,en,1,,,,,,
Indigenous,Indigenous,NORP,,,en,1,,,,,,
Eight,Eight,CARDINAL,,,en,1,,,,,,
more than 50,more than 50,CARDINAL,,,en,1,,,,,,
the Galaxies Showcase 2025,the Galaxies Showcase 2025,EVENT,,,en,1,,,,,,
"40,000","40,000",CARDINAL,,,en,1,,,,,,
+12175,+12175,NORP,,,en,1,,,,,,
annually,annually,DATE,,,en,1,,,,,,
the Grand Canyon,the Grand Canyon,FAC,,,en,1,,,,,,
over 40 million,over 40 million,CARDINAL,,,en,1,,,,,,
2050,2050,DATE,,,en,1,,,,,,
2C,2C,CARDINAL,,,en,1,,,,,,
ten feet,ten feet,QUANTITY,,,en,1,,,,,,
Santorini,Santorini,NORP,0.0,0.125,en,1,,,,,,
last month,last month,DATE,,,en,1,,,,,,
"600,000","600,000",CARDINAL,,,en,1,,,,,,
1000,1000,MONEY,,,en,1,,,,,,
19,19,CARDINAL,,,en,1,,,,,,
130,130,CARDINAL,,,en,1,,,,,,
$388 billion,$388 billion,MONEY,,,en,1,,,,,,
between 2030 and 2052,between 2030 and 2052,DATE,,,en,1,,,,,,
1.5 degrees Celsius,1.5 degrees Celsius,QUANTITY,,,en,1,,,,,,
2.7 degrees Fahrenheit,2.7 degrees Fahrenheit,QUANTITY,,,en,1,,,,,,
6,6,CARDINAL,,,en,1,,,,,,
a summer,a summer,DATE,,,en,1,,,,,,
next year,next year,DATE,,,en,1,,,,,,
this past summer,this past summer,DATE,,,en,1,,,,,,
several years,several years,DATE,,,en,1,,,,,,
about 40,about 40,CARDINAL,,,en,1,,,,,,
Brazilian,Brazilian,NORP,,,en,1,,,,,,
next month's,next month's,DATE,,,en,1,,,,,,
"Around 10,000 years ago","Around 10,000 years ago",DATE,,,en,1,,,,,,
100,100,CARDINAL,,,en,1,,,,,,
6.9%,6.9%,PERCENT,,,en,1,,,,,,
2.37 inches,2.37 inches,QUANTITY,,,en,1,,,,,,
the Boca Raton Airport,the Boca Raton Airport,FAC,,,en,1,,,,,,
"Monday, Oct. 27","Monday, Oct. 27",DATE,,,en,1,,,,,,
as of 7 a.m.,as of 7 a.m.,TIME,,,en,1,,,,,,
Boca Raton Airport,Boca Raton Airport,FAC,,,en,1,,,,,,
Oakland Hills,Oakland Hills,FAC,,,en,1,,,,,,
earlier this year,earlier this year,DATE,,,en,1,,,,,,
just a few decades,just a few decades,DATE,,,en,1,,,,,,
Burmese,Burmese,NORP,,,en,1,,,,,,
hundreds of thousands,hundreds of thousands,CARDINAL,,,en,1,,,,,,
May 30,May 30,DATE,,,en,1,,,,,,
the early 1980s,the early 1980s,DATE,,,en,1,,,,,,
+5647 chars,+5647 chars,WORK_OF_ART,,,en,1,,,,,,
Deadly Water Crisis,Deadly Water Crisis,WORK_OF_ART,,,en,1,,,,,,
That day,That day,DATE,,,en,1,,,,,,
nearly a year,nearly a year,DATE,,,en,1,,,,,,
12 feet,12 feet,QUANTITY,,,en,1,,,,,,
2023 to 2024,2023 to 2024,DATE,,,en,1,,,,,,
Judaism,Judaism,NORP,,,en,1,,,,,,
Christian,Christian,NORP,,,en,1,,,,,,
the ninth century,the ninth century,DATE,,,en,1,,,,,,
South Africas,South Africas,NORP,,,en,1,,,,,,
the 2026 World Cup,the 2026 World Cup,EVENT,,,en,1,,,,,,
Holocaust,Holocaust,EVENT,,,en,1,,,,,,
Jew,Jew,NORP,,,en,1,,,,,,
Palestinian Arabs,Palestinian Arabs,NORP,,,en,1,,,,,,
this years autumn,this years autumn,DATE,,,en,1,,,,,,
Sept. 23,Sept. 23,DATE,,,en,1,,,,,,
+2441,+2441,NORP,,,en,1,,,,,,
+11210 chars,+11210 chars,WORK_OF_ART,,,en,1,,,,,,
emacs,emacs,PRODUCT,,,en,1,,,,,,
Linux,Linux,PRODUCT,,,en,1,,,,,,
Linux distro Omarchy,Linux distro Omarchy,WORK_OF_ART,,,en,1,,,,,,
"Slick Distro, Complicated Ethics","Slick Distro, Complicated Ethics",WORK_OF_ART,,,en,1,,,,,,
unboxing experience</li><li,unboxing experience</li><li,PRODUCT,,,en,1,,,,,,
15,15,CARDINAL,,,en,1,,,,,,
Pro Game of Thrones Limited Edition,Pro Game of Thrones Limited Edition,EVENT,,,en,1,,,,,,
MadeThe Realme 15,MadeThe Realme 15,PRODUCT,,,en,1,,,,,,
+42094,+42094,NORP,,,en,1,,,,,,
Norwegian,Norwegian,NORP,,,en,1,,,,,,
Cruise Line,Cruise Line,PRODUCT,,,en,1,,,,,,
ten years,ten years,DATE,,,en,1,,,,,,
+4141,+4141,NORP,,,en,1,,,,,,
The David Lin Report,The David Lin Report,WORK_OF_ART,,,en,1,,,,,,
60FPSSony,60FPSSony,CARDINAL,,,en,1,,,,,,
1 litre,1 litre,QUANTITY,,,en,1,,,,,,
Only five years ago,Only five years ago,DATE,,,en,1,,,,,,
British,British,NORP,,,en,1,,,,,,
5.30,5.30,MONEY,,,en,1,,,,,,
+3493 chars,+3493 chars,WORK_OF_ART,,,en,1,,,,,,
third quarter,third quarter,DATE,,,en,1,,,,,,
the Kala Ghoda,the Kala Ghoda,FAC,,,en,1,,,,,,
23 feet,23 feet,QUANTITY,,,en,1,,,,,,
September 7,September 7,DATE,,,en,1,,,,,,
Iraqi,Iraqi,NORP,,,en,1,,,,,,
two intensive days,two intensive days,DATE,,,en,1,,,,,,
2023-02-02,2023-02-02,DATE,,,en,1,,,,,,
70 mph,70 mph,QUANTITY,,,en,1,,,,,,
"november 3rd, 2025","november 3rd, 2025",DATE,,,en,1,,,,,,
Fremen,Fremen,NORP,,,en,1,,,,,,
264,264,CARDINAL,,,en,1,,,,,,
2025The,2025The,TIME,,,en,1,,,,,,
+64203,+64203,NORP,,,en,1,,,,,,
4 days,4 days,DATE,,,en,1,,,,,,
