,Freizeit,Emotion,Wohnen,Klima,Soziales,Infrastruktur
2023-03-10,1,0,2,5,1,0
2023-03-11,2,1,0,6,0,0
2023-03-12,2,1,0,2,0,0
2023-03-13,1,2,0,1,0,0
2023-03-14,3,1,0,1,0,0
2023-03-15,3,0,1,1,1,0
2023-03-16,1,0,0,0,0,0
2023-03-17,2,2,1,0,0,0
2023-03-18,3,0,0,0,0,0
2023-03-19,5,1,0,0,0,0
2023-03-20,0,2,3,0,0,1
2023-03-21,1,4,3,0,0,0
2023-03-22,2,5,1,1,0,0
2023-03-23,0,9,2,0,0,0
2023-03-24,0,11,1,2,0,0
2023-03-25,1,27,1,0,0,0
2023-03-26,0,18,0,1,0,0
2023-03-27,0,7,1,1,0,1
2023-03-28,1,2,1,6,0,0
2023-03-29,1,0,0,1,1,0
2023-03-30,2,1,1,1,0,0
2023-03-31,3,2,1,0,0,0
2023-04-01,0,1,1,0,0,0
2023-04-03,1,0,1,0,0,0
2023-04-04,3,2,1,0,0,0
2023-04-05,0,1,2,0,0,0
2023-04-06,2,0,0,0,2,0
2023-04-07,0,1,2,0,0,0
2023-04-08,0,0,1,0,0,0
2023-04-09,1,1,0,0,0,0
2023-04-10,4,1,0,0,1,0
2023-04-11,0,0,1,1,0,0
2023-04-12,1,2,0,1,0,0
2023-04-13,0,2,1,1,0,0
2023-04-15,0,1,0,0,0,0
2023-04-16,0,0,1,0,0,0
2023-04-17,0,2,3,0,0,0
2023-04-18,0,0,2,2,0,0
2023-04-19,0,1,1,0,0,0
2023-04-20,0,1,1,0,0,0
2023-04-21,1,0,3,0,1,0
2023-04-22,2,0,0,0,0,0
2023-04-23,0,0,2,0,0,0
2023-04-24,0,0,1,0,0,1
2023-04-25,1,2,4,0,0,0
2023-04-26,0,4,0,0,0,0
2023-04-27,0,2,1,0,0,0
2023-05-01,0,0,4,0,0,0
2023-05-02,0,2,1,0,1,0
2023-05-03,1,0,2,0,0,1
2023-05-04,0,4,2,0,0,0
2023-05-05,0,1,1,1,0,0
2023-05-06,0,1,0,1,0,0
2023-05-07,0,0,1,1,1,0
2023-05-08,0,1,2,2,0,0
2023-05-09,0,2,1,0,0,0
2023-05-10,0,0,2,1,0,0
2023-05-11,0,1,5,0,0,0
2023-05-12,1,2,1,0,0,0
2023-05-13,0,1,1,0,0,0
2023-05-15,4,0,2,0,0,0
2023-05-16,0,0,3,0,0,0
2023-05-19,0,0,2,1,0,0
2023-05-20,1,1,1,0,1,0
2023-05-21,0,1,1,0,1,0
2023-05-23,0,2,1,0,0,0
2023-05-24,0,1,2,0,0,0
2023-05-26,0,2,1,0,1,0
2023-05-28,1,1,0,0,0,0
2023-05-29,0,1,0,0,0,0
2023-05-31,2,0,3,0,0,0
2023-06-01,0,1,2,0,0,0
2023-06-02,0,0,1,0,0,0
2023-06-04,0,1,0,0,0,0
2023-06-07,0,0,2,0,0,0
2023-06-08,0,1,0,0,0,0
2023-06-09,0,1,1,0,0,0
2023-06-10,0,2,0,0,0,0
2023-06-12,0,1,0,0,0,0
2023-06-13,0,1,0,0,0,0
2023-06-14,2,2,1,0,0,0
2023-06-16,0,1,0,0,0,0
2023-06-18,0,0,1,0,0,0
2023-06-19,0,10,5,1,0,0
2023-06-20,0,2,0,0,0,0
2023-06-21,0,1,0,0,0,0
2023-06-22,0,0,1,0,0,1
2023-06-25,0,2,0,0,0,0
2023-06-26,1,1,0,0,1,0
2023-06-27,0,1,1,1,0,0
2023-06-28,2,1,0,0,3,0
2023-06-29,1,3,5,1,0,0
2023-07-01,0,2,1,0,0,0
2023-07-02,0,2,1,0,0,0
2023-07-03,0,1,0,0,0,0
2023-07-04,0,0,1,0,0,1
2023-07-05,0,3,0,0,1,0
2023-07-06,0,0,0,0,0,1
2023-07-07,0,2,2,1,0,0
2023-07-08,0,0,0,0,0,1
2023-07-09,0,1,0,0,0,0
2023-07-10,0,0,0,1,0,0
2023-07-11,1,1,0,0,0,0
2023-07-12,1,0,0,0,0,0
2023-07-13,0,1,0,0,0,0
2023-07-14,5,1,0,1,0,0
2023-07-15,0,0,0,1,1,0
2023-07-16,0,0,0,1,0,0
2023-07-17,1,0,0,0,0,1
2023-07-18,0,0,1,0,0,0
2023-07-19,1,1,0,0,2,0
2023-07-20,0,1,0,0,1,0
2023-07-21,1,0,1,0,1,1
2023-07-22,0,0,1,0,0,0
2023-07-23,3,1,0,0,0,0
2023-07-24,1,0,0,0,0,0
2023-07-26,1,0,0,1,0,1
2023-07-27,0,1,1,0,0,0
2023-07-28,0,1,2,1,1,0
2023-07-30,0,0,1,0,0,0
2023-07-31,0,2,1,0,0,2
2023-08-01,0,0,1,0,0,0
2023-08-02,0,2,0,0,0,0
2023-08-03,0,0,1,0,0,0
2023-08-04,2,1,0,3,0,0
2023-08-05,0,1,0,2,0,0
2023-08-06,0,1,1,0,0,0
2023-08-07,1,0,0,0,0,0
2023-08-08,0,2,1,0,0,0
2023-08-09,4,1,1,0,0,0
2023-08-10,3,0,1,0,0,0
2023-08-11,0,1,2,0,0,0
2023-08-14,0,3,0,0,0,0
2023-08-15,1,1,0,0,1,0
2023-08-16,1,0,0,0,0,0
2023-08-17,1,0,1,0,0,0
2023-08-18,1,2,0,0,0,0
2023-08-20,0,3,0,0,0,0
2023-08-21,1,2,0,0,0,1
2023-08-22,0,1,0,0,0,0
2023-08-23,0,1,1,0,1,0
2023-08-24,0,2,0,0,0,0
2023-08-26,0,0,1,0,0,0
2023-08-28,6,1,0,0,1,1
2023-08-29,0,0,0,1,0,0
2023-08-30,0,1,0,0,0,0
2023-08-31,1,0,0,0,0,1
2023-09-01,1,0,0,0,0,0
2023-09-02,0,0,0,0,2,0
2023-09-03,1,1,0,0,0,0
2023-09-04,0,1,0,0,0,0
2023-09-06,2,1,0,0,0,0
2023-09-07,0,0,2,0,1,0
2023-09-08,0,2,0,0,1,0
2023-09-11,0,2,0,0,0,0
2023-09-12,0,1,0,0,0,2
2023-09-13,0,0,0,0,0,1
2023-09-14,0,1,0,0,0,0
2023-09-15,0,0,0,0,1,0
2023-09-16,0,1,0,0,0,0
2023-09-17,0,1,0,0,0,0
2023-09-18,0,1,2,0,0,0
2023-09-19,1,0,0,0,0,0
2023-09-20,0,0,3,0,0,0
2023-09-21,1,3,0,0,0,0
2023-09-22,1,1,1,0,0,0
2023-09-23,0,0,0,1,0,0
2023-09-24,0,1,0,0,0,0
2023-09-25,0,1,2,0,0,0
2023-09-26,0,0,7,0,0,0
2023-09-27,0,3,2,0,0,0
2023-09-28,0,2,1,0,0,0
2023-09-29,0,0,1,0,0,0
2023-10-01,3,0,0,0,0,0
2023-10-02,0,0,1,0,0,0
2023-10-03,0,0,1,0,0,0
2023-10-04,1,0,1,0,0,0
2023-10-05,0,0,1,0,0,0
2023-10-06,1,3,1,0,0,0
2023-10-07,0,2,0,0,0,0
2023-10-09,0,1,4,0,0,0
2023-10-10,2,1,0,0,0,0
2023-10-11,0,1,1,0,0,1
2023-10-12,1,0,3,1,0,0
2023-10-13,1,1,2,3,0,0
2023-10-14,1,1,0,1,1,0
2023-10-15,0,2,1,2,0,0
2023-10-16,1,0,2,0,0,1
2023-10-17,1,3,0,0,1,0
2023-10-18,2,0,2,0,0,0
2023-10-19,3,2,1,1,0,0
2023-10-20,4,1,1,0,0,0
2023-10-21,0,1,0,0,0,0
2023-10-22,0,1,0,0,0,0
2023-10-23,1,3,1,0,0,0
2023-10-24,3,4,1,0,1,0
2023-10-25,6,7,1,0,3,0
2023-10-26,2,9,0,0,0,0
2023-10-27,6,12,2,1,0,0
2023-10-28,4,17,1,0,0,0
2023-10-29,0,5,0,0,0,0
2023-10-30,3,4,2,0,0,1
2023-10-31,1,2,2,0,0,0
2023-11-01,0,1,0,0,0,0
2023-11-02,7,0,0,1,0,0
2023-11-03,4,0,0,0,0,0
2023-11-04,5,2,0,0,0,0
2023-11-05,3,0,0,0,0,0
2023-11-06,3,1,1,0,0,0
2023-11-07,1,4,2,3,0,0
2023-11-08,5,0,0,0,0,0
2023-11-09,14,0,0,0,0,0
2023-11-10,3,1,6,0,0,0
2023-11-11,3,0,1,0,0,0
2023-11-12,0,0,2,0,0,0
2023-11-13,2,1,2,0,0,0
2023-11-14,5,1,2,0,0,0
2023-11-15,1,1,1,0,0,0
2023-11-16,4,3,0,1,0,0
2023-11-17,1,3,0,0,0,0
2023-11-18,2,2,0,0,0,0
2023-11-19,6,1,0,0,0,0
2023-11-20,6,1,2,0,0,0
2023-11-21,5,2,0,4,0,0
2023-11-22,15,1,1,0,0,0
2023-11-23,5,1,0,0,0,0
2023-11-24,4,8,0,0,0,0
2023-11-25,3,3,0,4,0,0
2023-11-26,5,2,2,3,0,0
2023-11-27,4,1,0,17,0,0
2023-11-28,2,2,0,23,0,0
2023-11-29,9,2,2,10,0,0
2023-11-30,23,2,3,13,0,1
2023-12-01,13,4,0,6,2,0
2023-12-02,10,0,0,7,0,0
2023-12-03,7,6,0,21,0,0
2023-12-04,4,1,0,15,0,0
2023-12-05,9,0,1,12,2,0
2023-12-06,8,0,1,5,1,0
2023-12-07,7,4,0,7,0,0
2023-12-08,11,2,1,10,0,1
2023-12-09,4,1,0,2,1,0
2023-12-10,4,1,0,2,1,0
2023-12-11,6,1,0,6,0,0
2023-12-12,3,1,0,2,0,0
2023-12-13,7,7,3,1,1,0
2023-12-14,5,3,0,1,0,0
2023-12-15,1,0,1,2,0,0
2023-12-16,12,1,0,0,0,0
2023-12-17,1,0,0,0,0,0
2023-12-18,1,0,0,1,0,0
2023-12-19,2,2,0,0,0,0
2023-12-20,7,4,0,0,0,0
2023-12-21,2,2,0,1,0,0
2023-12-22,12,6,0,0,0,0
2023-12-23,5,4,1,1,0,0
2023-12-24,1,6,1,0,1,0
2023-12-25,2,3,1,0,0,0
2023-12-26,7,5,0,2,0,0
2023-12-27,0,2,1,1,0,0
2023-12-28,2,1,0,3,0,0
2023-12-29,5,1,0,0,1,0
2023-12-30,3,2,0,0,1,0
2024-01-01,0,1,0,0,0,0
2024-01-02,2,0,0,0,2,0
2024-01-03,5,0,1,0,1,0
2024-01-04,3,2,1,1,1,1
2024-01-05,1,1,0,3,0,0
2024-01-06,0,1,0,5,0,0
2024-01-07,4,1,0,0,0,0
2024-01-08,1,2,0,2,1,0
2024-01-09,0,4,1,2,5,0
2024-01-10,1,0,0,1,0,0
2024-01-11,1,0,0,5,0,0
2024-01-12,6,0,0,9,0,0
2024-01-13,1,1,0,1,0,0
2024-01-14,3,1,0,1,0,0
2024-01-15,1,1,0,3,0,0
2024-01-16,2,1,1,11,0,0
2024-01-17,2,3,0,46,1,0
2024-01-18,1,0,0,42,1,0
2024-01-19,4,0,0,6,0,0
2024-01-20,0,2,0,5,0,0
2024-01-21,2,0,0,5,0,0
2024-01-22,3,0,0,2,0,0
2024-01-23,1,0,0,10,0,0
2024-01-24,3,0,0,2,0,0
2024-01-25,2,0,1,0,0,0
2024-01-26,2,0,0,2,0,0
2024-01-27,5,0,0,0,0,0
2024-01-28,9,0,0,0,0,0
2024-01-29,0,0,1,0,0,0
2024-01-30,4,1,0,0,0,4
2024-01-31,0,0,0,3,1,1
2024-02-01,0,4,0,0,0,0
2024-02-02,3,1,0,0,0,0
2024-02-03,2,1,0,0,0,0
2024-02-04,5,1,0,0,0,0
2024-02-05,2,0,0,2,0,0
2024-02-06,2,0,0,8,0,0
2024-02-07,2,1,0,1,0,0
2024-02-08,1,2,1,0,0,0
2024-02-09,0,1,0,2,1,0
2024-02-10,2,1,0,0,0,0
2024-02-11,2,0,0,0,0,0
2024-02-12,5,2,0,0,0,0
2024-02-13,0,0,0,2,0,0
2024-02-14,4,0,0,2,1,0
2024-02-15,1,0,3,0,0,0
2024-02-16,1,3,1,1,0,0
2024-02-17,5,0,0,0,0,0
2024-02-18,4,0,0,0,0,0
2024-02-19,6,0,0,0,0,0
2024-02-20,1,1,0,0,1,0
2024-02-21,2,0,1,1,0,0
2024-02-22,2,0,1,0,0,0
2024-02-23,5,1,0,1,0,0
2024-02-24,6,0,0,1,0,0
2024-02-25,9,0,0,2,0,0
2024-02-26,2,0,2,0,0,0
2024-02-27,3,0,1,0,0,0
2024-02-28,2,1,0,0,0,0
2024-02-29,4,1,0,2,0,0
2024-03-01,5,0,1,2,0,0
2024-03-02,6,0,0,0,0,0
2024-03-03,5,0,0,2,0,0
2024-03-04,2,0,0,0,0,0
2024-03-05,0,0,0,1,0,0
2024-03-06,1,4,0,0,0,0
2024-03-07,0,1,0,0,0,1
2024-03-08,0,0,0,1,0,1
2024-03-09,1,0,0,0,0,0
2024-03-10,1,0,0,0,0,0
2024-03-12,0,1,0,0,0,0
2024-03-13,0,1,0,0,0,0
1970-01-01,0,0,0,0,0,0
